PointName,Lng,Lat,Score
大马庄3,116.6558175,39.86511385,11
大马庄南站1,116.6554332,39.86347172,26
大马庄南站2,116.6553833,39.86368274,26
大松垡村,116.6520908,39.72161738,3.78
大松垡村北口,116.6513746,39.72370468,1
大松垡村东口,116.6533097,39.71800972,3.78
大松垡村南口,116.6535083,39.71046274,3.78
大香仪村,116.796403,39.74454584,2.11
大辛庄,116.7183158,39.8245566,12.11
大兴庄后街,116.7268169,39.95570544,7.67
大兴庄南口,116.7319381,39.94751055,4.89
大兴庄中街,116.728346,39.95337284,3.78
大运河森林公园南门,116.7470605,39.85364188,1
德芳潭陵园(临时站),116.7658888,39.73365244,1.56
德仁务村北口,116.7746975,39.67565589,4.89
地铁北运河西站1,116.6815205,39.90052127,33.22
地铁北运河西站2,116.6853679,39.90029086,11.56
地铁北运河西站南,116.6852162,39.90070697,13.22
地铁次渠站,116.5904821,39.80188344,7.67
地铁果园站1,116.6395292,39.89326347,20.44
地铁果园站2,116.6395362,39.8932605,21
地铁经海路站,116.5579198,39.78282466,8.22
地铁九棵树站1,116.6510191,39.88988288,16
地铁九棵树站10,116.6510829,39.88984782,16.56
地铁九棵树站11,116.6513063,39.88980563,17.11
地铁九棵树站12,116.6510959,39.88985874,16
地铁九棵树站13,116.6512404,39.88981565,16
地铁九棵树站14,116.6511667,39.88983564,15.44
地铁九棵树站15,116.6511398,39.88984673,15.44
地铁九棵树站2,116.6512504,39.88981564,16
地铁九棵树站3,116.6512196,39.88982971,15.44
地铁九棵树站4,116.6513923,39.88977303,18.22
地铁九棵树站5,116.6511368,39.88984272,15.44
地铁九棵树站6,116.6511368,39.88983566,15.44
地铁九棵树站7,116.6511407,39.88983767,15.44
地铁九棵树站8,116.6519502,39.88987806,9.89
地铁九棵树站9,116.6511497,39.88984672,15.44
地铁梨园站1,116.6629979,39.88275919,33.78
地铁梨园站10,116.6627089,39.88297149,33.78
地铁梨园站11,116.6628504,39.8828924,36
地铁梨园站12,116.6629223,39.88281628,36.56
地铁梨园站13,116.6627158,39.88299349,33.78
地铁梨园站14,116.6629342,39.88277932,36.56
地铁梨园站2,116.6628135,39.88288939,36.56
地铁梨园站3,116.6627867,39.88293142,36
