pts.lon,pts.lat,pts.amenity
-73.9745925,40.7532071,bank
-73.9937306,40.7362336,bank
-73.990694,40.7454492,bank
-73.9904156,40.7458491,bank
-73.975929,40.7549267,bank
-73.9788802,40.7857965,bank
-73.9763773,40.7888765,bank
-73.9656901,40.8051297,bank
-73.9592065,40.7086989,bank
-73.9618755,40.7099289,bank
-73.9622655,40.7102238,bank
-74.0063475,40.7143791,bank
-74.0070502,40.7136091,bank
-74.0068412,40.7137509,bank
-74.0074818,40.7130415,bank
-73.952723,40.7269226,bank
-73.9386709,40.805106,bank
-73.9367117,40.8042614,bank
-74.0057658,40.7061054,bank
-73.9853606,40.7629376,bank
-73.9505565,40.7717247,bank
-73.9405317,40.7121473,bank
-73.9437288,40.7116585,bank
-73.9767613,40.7565504,bank
-73.9762469,40.7566498,bank
-73.9820471,40.7795524,bank
-73.9626519,40.7625568,bank
-73.9908308,40.7512887,bank
-73.9874523,40.7507171,bank
-73.9874129,40.7511344,bank
-73.9632363,40.7582326,bank
-73.9628463,40.758086,bank
-73.9917821,40.7316498,bank
-73.989624,40.8063386,bank
-73.9946231,40.7321008,bank
-73.994489,40.7316292,bank
-73.9767298,40.7429961,bank
-73.9795985,40.7441346,bank
-73.998174,40.7929642,bank
-73.972001,40.7504291,bank
-73.925001,40.761977,bank
-73.924658,40.761827,bank
-73.924953,40.761957,bank
-73.930017,40.756557,bank
-73.9928689,40.7431125,bank
-73.9911501,40.7448795,bank
-73.9726625,40.7498118,bank
-73.9850283,40.7446813,bank
-73.9851848,40.7444707,bank
-73.9848695,40.7419164,bank
-73.985174,40.7414838,bank
-73.9893274,40.7428121,bank
-73.9727283,40.7535214,bank
-73.9728718,40.7533121,bank
-74.0034485,40.743254,bank
-73.9391505,40.820979,bank
-73.985999,40.762903,bank
-73.9851333,40.7633145,bank
-73.9824991,40.7663421,bank
-73.9779888,40.7510967,bank
-73.9973944,40.7249368,bank
-73.9919648,40.7351212,bank
-74.010064,40.708562,bank
-73.9738666,40.7507176,bank
-73.9775447,40.7577041,bank
-74.0008117,40.7183874,bank
-73.9852131,40.7240062,bank
-73.9746573,40.7570392,bank
-73.9795555,40.755625,bank
-73.9529247,40.8106899,bank
-74.0085505,40.709517,bank
-73.9803906,40.7838029,bank
-73.9667704,40.80357,bank
-74.0048356,40.7467964,commercial
-73.941559,40.8068848,commercial
-73.9421275,40.8071253,commercial
-74.0086238,40.7234592,commercial
-73.9448452,40.8081824,commercial
-73.9933817,40.7334201,bank
-73.9920613,40.7359076,bank
-73.9994866,40.7180062,bank
-73.9764455,40.7569111,bank
-73.9823773,40.7770281,bank
