lon,lat,amenity
-73.939218,40.7585466,school
-73.93,40.7963889,school
-73.9553307,40.801682,school
-73.9466068,40.8151003,school
-73.9845041,40.7281772,school
-73.9975,40.7144444,school
-73.9559713,40.8106563,school
-73.9522222,40.815,school
-73.9984892,40.7185361,school
-73.9801389,40.741213,school
-73.9857557,40.7703023,school
-73.9481015,40.8024876,school
-74.0108333,40.7183333,school
-73.9472222,40.7802778,school
-73.9260959,40.808068,school
-73.9484711,40.8103786,school
-73.952078,40.8118266,school
-73.9506935,40.7703792,school
-73.9264727,40.7573471,school
-73.9419502,40.7890867,school
-73.9573604,40.7153803,school
-73.9502675,40.7985237,school
-73.9940281,40.7112136,school
-73.9470823,40.7109359,school
-73.9723609,40.7567683,school
-73.9416667,40.7933333,school
-73.9577778,40.7638889,school
-73.9494494,40.7983551,school
-73.9487488,40.8262116,school
-73.9526983,40.7751107,school
-73.9409446,40.8212167,school
-73.9790277,40.7276022,school
-73.9502957,40.7849967,school
-73.9365389,40.8242494,school
-73.93,40.7966667,school
-73.9498518,40.7985359,school
-73.9951526,40.7216526,school
-73.9883333,40.7611111,school
-73.9987505,40.7162135,school
-74.0112857,40.71596,school
-73.9399129,40.8077587,school
-73.9884724,40.7262133,school
-73.9529245,40.7751724,school
-73.9395821,40.7101026,school
-73.9562492,40.779268,school
-73.9340262,40.8034342,school
-73.9373599,40.7539906,school
-73.9814218,40.7354821,school
-73.9956193,40.7615988,school
-73.9666402,40.7591213,school
-74.0040284,40.7278799,school
-73.9795833,40.7262133,school
-73.9458311,40.8100265,school
-73.9795833,40.7634348,school
-73.9505556,40.7086111,school
-73.92556,40.7725,school
-74.002407,40.7426361,school
-73.9417779,40.7606314,school
-73.95,40.7847222,school
-73.9312484,40.7970454,school
-73.9323595,40.7984343,school
-73.9344444,40.7361111,school
-73.935407,40.7967205,school
-73.9499962,40.7851696,school
-73.9736454,40.785132,school
-73.9394661,40.8239228,school
-73.9906002,40.7224227,school
-73.9355127,40.8055116,school
-73.9681635,40.789455,school
-73.9354993,40.8058249,school
-73.9558954,40.8075684,school
-73.977488,40.7197963,school
-73.9554286,40.8017647,school
-73.9522654,40.7836269,school
-73.9773764,40.7199987,school
-73.9335532,40.7435086,school
-73.9311111,40.7544444,school
-73.9788889,40.7738889,library
-73.9616667,40.775,school
-73.9572222,40.7788889,school
-73.9920837,40.7364909,school
-73.9588889,40.7797222,school
-73.955665,40.8159758,school
-73.9383333,40.8258333,school
-73.9458333,40.8066667,school
-73.9475,40.7780556,school
-73.9595827,40.7656571,school
-73.9635604,40.8113651,school
-73.9848028,40.7742118,library
-73.9894444,40.7366667,library
-73.9557551,40.7626743,school
-73.9502617,40.7612668,library
-73.954027,40.7317688,school
-73.9397059,40.7924897,school
-73.9438889,40.8063889,school
-73.94236,40.7195468,school
-73.9416667,40.82,school
-73.9990283,40.7476017,school
-73.9511111,40.7863889,school
-73.95833,40.71667,school
-73.9954171,40.7381575,school
-73.9659895,40.8070488,school
-73.9265537,40.8081126,school
-73.9427495,40.7112526,school
-73.9427699,40.7113396,school
-73.9956946,40.8164895,school
-73.9536111,40.8125,school
-74.0129174,40.7831567,school
-74.0009895,40.7326857,school
-73.9419485,40.7883462,school
-73.9382199,40.8156402,school
-73.938129,40.8157285,school
-73.9476379,40.7101026,school
-73.954027,40.7431575,school
-73.9380494,40.7132932,school
-73.9414844,40.8001661,school
-73.9848612,40.7284354,school
-73.9505729,40.7737335,school
-73.9575381,40.7161217,school
-73.965,40.7658333,school
-73.9545118,40.8242574,school
-73.9662495,40.7684347,school
-73.9838889,40.7741667,school
-73.9827658,40.719191,school
-73.9853705,40.7390224,school
-73.9822222,40.7388889,school
-73.9466013,40.716371,school
-73.9828998,40.7480891,library
