pts_health.lon,pts_health.lat,pts_health.amenity
-73.963402,40.7982044,pharmacy
-73.9490175,40.8097518,hospital
-73.9545347,40.8051525,pharmacy
-73.96689,40.7932717,pharmacy
-73.9679788,40.7995484,pharmacy
-73.9976191,40.7366071,pharmacy
-73.9977084,40.7459862,pharmacy
-73.9476395,40.7842635,pharmacy
-74.00035,40.7118773,pharmacy
-73.9521949,40.7260096,pharmacy
-73.9770677,40.7425206,pharmacy
-73.9670719,40.804116,pharmacy
-73.9862216,40.7624506,pharmacy
-73.9768151,40.7228835,pharmacy
-74.0150269,40.7121643,pharmacy
-73.9553606,40.7620381,hospital
-73.9859675,40.7699105,dentist
-73.9805556,40.7213889,hospital
-73.9616886,40.8049909,hospital
-73.9444531,40.7160679,pharmacy
-73.9412506,40.8052533,pharmacy
-73.9927561,40.7362964,hospital
-73.974123,40.7424725,hospital
-74.0099504,40.7967992,dentist
-73.9533678,40.7443349,social_facility
-73.9552779,40.785,hospital
-73.9513103,40.7907895,pharmacy
-73.9907073,40.7389191,dentist
-73.9545825,40.7659348,doctors
-73.953749,40.809823,hospital
-73.9512101,40.7937088,hospital
-73.9668586,40.804438,pharmacy
-73.9806616,40.7745339,pharmacy
-73.9533013,40.7446691,doctors
-73.9935627,40.7332774,pharmacy
-73.9759767,40.7879016,pharmacy
-73.986663,40.7404529,pharmacy
-73.9896767,40.7341136,pharmacy
-73.9716599,40.7953466,pharmacy
-73.9866768,40.756098,pharmacy
-73.9501086,40.7068388,pharmacy
-73.9998038,40.7437942,pharmacy
-73.9851806,40.7480167,pharmacy
-73.9976177,40.7938772,pharmacy
-73.9731394,40.7521198,pharmacy
-73.9550117,40.7643775,hospital
-73.9549427,40.7647995,hospital
-73.9787844,40.7771072,pharmacy
-73.925,40.7683333,hospital
-73.9852381,40.7692012,hospital
-73.9447222,40.7111111,hospital
-74.0071728,40.713387,pharmacy
-73.9619444,40.8055556,hospital
-73.9306136,40.7644312,pharmacy
-73.9443888,40.7549964,pharmacy
-73.9492687,40.7243642,clinic
-73.9760172,40.7401213,hospital
-73.9829011,40.7330649,hospital
-73.9512524,40.7253074,dentist
-73.9493345,40.7261172,doctors
-74.019158,40.7849068,pharmacy
-73.973653,40.7925289,pharmacy
-73.9500761,40.7237948,doctors
-73.9514951,40.7257874,dentist
-73.9493565,40.7245145,doctors
-73.9935264,40.7515251,pharmacy
-73.9697161,40.7886394,pharmacy
-73.9783154,40.7869405,pharmacy
-73.9902653,40.7343059,pharmacy
-73.9503915,40.7255927,dentist
-73.9874647,40.7132874,hospital
-73.9401746,40.7170511,hospital
-73.9495395,40.7242817,veterinary
-73.9828024,40.7343677,hospital
-73.9539697,40.7656424,hospital
-73.9678461,40.794139,social_facility
-73.9252274,40.8178667,hospital
-73.9541451,40.7321429,hospital
-73.9320883,40.7873385,hospital
-73.9520587,40.7876521,hospital
-73.986274,40.7691292,hospital
-73.9519636,40.7886484,hospital
-73.9501059,40.7238465,pharmacy
-73.9830091,40.7346528,hospital
-73.9781396,40.7526022,pharmacy
-73.9715785,40.7926784,pharmacy
-74.0055311,40.7104315,hospital
-73.9734674,40.7436557,hospital
-73.97136,40.7457466,clinic
-73.9511637,40.7254998,dentist
-73.9961833,40.7954544,hospital
-73.9496593,40.7243075,pharmacy
-73.9261055,40.7617644,pharmacy
-73.9871441,40.7259214,pharmacy
-73.9884998,40.7283759,hospital
-74.0097869,40.715442,dentist
-73.9774904,40.7380404,hospital
-73.9774807,40.7858609,veterinary
