lon,lat,home
-73.9443642,40.7812225,residential
-73.9442669,40.7809506,residential
-73.9445321,40.7807731,residential
-73.9458489,40.7813121,residential
-73.9486498,40.7548551,residential
-73.9484803,40.7550592,residential
-73.9479143,40.7557122,residential
-73.9472936,40.7562979,residential
-73.9457902,40.7576488,residential
-73.9444197,40.7567839,residential
-73.9429754,40.7560089,residential
-73.9414684,40.7552317,residential
-73.9438193,40.7527929,residential
-73.9462255,40.7538053,residential
-73.9473342,40.7542831,residential
-73.9486498,40.7548551,residential
-73.9389253,40.7608406,residential
-73.9379674,40.762382,residential
-73.9369148,40.7640902,residential
-73.935451,40.7633709,residential
-73.9363521,40.7619225,residential
-73.9359123,40.7617153,residential
-73.9351495,40.7613789,residential
-73.9339122,40.7626634,residential
-73.9317929,40.7616629,residential
-73.9329342,40.7603404,residential
-73.9331025,40.7601573,residential
-73.9335626,40.7596584,residential
-73.9343141,40.7588434,residential
-73.9349209,40.7591273,residential
-73.935815,40.7595457,residential
-73.9365437,40.7598866,residential
-73.9368597,40.7600431,residential
-73.9374021,40.7602525,residential
-73.9389253,40.7608406,residential
-73.9351227,40.8002607,residential
-73.93401,40.8017768,residential
-73.9320361,40.8009565,residential
-73.9323264,40.8005097,residential
-73.9303332,40.7996674,residential
-73.9297817,40.7982537,residential
-73.9296656,40.797719,residential
-73.9296849,40.7972649,residential
-73.929772,40.797133,residential
-73.9299558,40.7971697,residential
-73.9320071,40.7980486,residential
-73.9316684,40.7985321,residential
-73.932936,40.799118,residential
-73.9328392,40.7992792,residential
-73.9351227,40.8002607,residential
-73.9991993,40.7088658,residential
-74.0008969,40.7102285,residential
-74.0004834,40.7107905,residential
-73.9995661,40.7116843,residential
-73.9971037,40.7119312,residential
-73.9969698,40.7114132,residential
-73.9983362,40.7112021,residential
-73.9984109,40.7111773,residential
-73.9984582,40.7111455,residential
-73.9984928,40.7110986,residential
-73.9984855,40.7109674,residential
-73.9981923,40.7099125,residential
-73.9966313,40.710139,residential
-73.9964072,40.7093161,residential
-73.9964291,40.7092954,residential
-73.9991993,40.7088658,residential
-73.9894231,40.772867,residential
-73.9885712,40.7740331,residential
-73.9869383,40.773349,residential
-73.9864941,40.7739571,residential
-73.9854819,40.773533,residential
-73.9867669,40.7717737,residential
-73.9873074,40.7720002,residential
-73.9870546,40.7723463,residential
-73.9886476,40.7730137,residential
-73.9889114,40.7726526,residential
-73.9894231,40.772867,residential
-73.9963714,40.7102848,residential
-73.9966449,40.7113085,residential
-73.9943482,40.7115129,residential
-73.994222,40.7106303,residential
-73.9963714,40.7102848,residential
-73.9895686,40.7113678,residential
-73.9897575,40.7126017,residential
-73.9852195,40.7130009,residential
-73.9850306,40.7117669,residential
-73.9895686,40.7113678,residential
-73.9838052,40.7131459,residential
-73.9828601,40.7132598,residential
-73.982959,40.7139821,residential
-73.9821879,40.714072,residential
-73.9820969,40.7133407,residential
-73.9800605,40.7135835,residential
-73.9799012,40.7123068,residential
-73.9807762,40.7122377,residential
-73.9806932,40.7115663,residential
-73.9835442,40.7113774,residential
-73.9838052,40.7131459,residential
-73.9472244,40.7999236,residential
-73.9483922,40.7983135,residential
-73.9512082,40.799501,residential
-73.950887,40.7999439,residential
-73.9503472,40.8006881,residential
-73.9500404,40.801111,residential
-73.9472244,40.7999236,residential
-73.9360819,40.7754615,residential
-73.9366432,40.7743653,residential
-73.936886,40.7744353,residential
-73.9370051,40.7741937,residential
-73.9371003,40.7739219,residential
-73.937685,40.7739319,residential
-73.937681,40.7738888,residential
-73.9376593,40.7736521,residential
-73.9376259,40.7734416,residential
-73.937612,40.7733894,residential
-73.9375669,40.7732202,residential
-73.9374821,40.7729988,residential
-73.9373783,40.7728517,residential
-73.9373643,40.7728368,residential
-73.9373274,40.7727974,residential
-73.9372431,40.7727074,residential
-73.937066,40.7725921,residential
-73.9368641,40.7724976,residential
-73.9367543,40.7724552,residential
-73.9366847,40.7724283,residential
-73.9366346,40.7724089,residential
-73.936022,40.7722217,residential
-73.9359623,40.7722034,residential
-73.9357374,40.7721336,residential
-73.9356108,40.7720944,residential
-73.9353985,40.7720286,residential
-73.9353438,40.7720117,residential
-73.9351386,40.7719481,residential
-73.9347852,40.7718404,residential
-73.9347006,40.7718147,residential
-73.934692,40.7718345,residential
-73.9344226,40.7723225,residential
-73.9343059,40.7725467,residential
-73.9342442,40.772568,residential
-73.9339556,40.7724794,residential
-73.9331563,40.7722387,residential
-73.9331308,40.772259,residential
-73.9331075,40.7722814,residential
-73.9330812,40.7723067,residential
-73.932845,40.7726389,residential
-73.9327007,40.7728899,residential
-73.93242,40.7734185,residential
-73.9320155,40.7741439,residential
-73.933816,40.7747332,residential
-73.9338569,40.7747474,residential
-73.9338995,40.7747623,residential
-73.9340762,40.7748127,residential
-73.9351802,40.7751698,residential
-73.935209,40.7751791,residential
-73.9352313,40.7751864,residential
-73.9360819,40.7754615,residential
-73.9773637,40.74226,residential
-73.9754186,40.7414657,residential
-73.9744785,40.7428095,residential
-73.9742936,40.7430738,residential
-73.9762132,40.7438766,residential
-73.9773637,40.74226,residential
-74.0098362,40.73594,residential
-74.0102453,40.7313571,residential
-74.0089806,40.7312211,residential
-74.0086926,40.7325527,residential
-74.008438,40.7354372,residential
-74.0083795,40.7361456,residential
-74.0098362,40.73594,residential
-73.9984982,40.7501162,residential
-73.9959313,40.7490401,residential
-73.9980707,40.746028,residential
-73.9983402,40.7461017,residential
-73.9987997,40.7460682,residential
-73.9990604,40.7460983,residential
-74.000156,40.7465803,residential
-74.0002886,40.7467142,residential
-74.0006155,40.7462557,residential
-74.0011802,40.7464909,residential
-73.9984982,40.7501162,residential
-74.0228446,40.7622783,residential
-74.0224861,40.7627075,residential
-74.022093,40.7630359,residential
-74.0214685,40.7635483,residential
-74.0213644,40.7635702,residential
-74.0212488,40.7635396,residential
-74.0209192,40.7632418,residential
-74.0206995,40.7629615,residential
-74.0204046,40.7623309,residential
-74.0211794,40.7612798,residential
-74.0216767,40.761525,residential
-74.0218675,40.7616652,residential
-74.0221277,40.7619411,residential
-74.0228446,40.7622783,residential
-74.022256,40.7594997,residential
-74.0223231,40.7593682,residential
-74.022414,40.7592443,residential
-74.0225758,40.7590804,residential
-74.0224334,40.7590223,residential
-74.0223786,40.7590903,residential
-74.0207642,40.7583909,residential
-74.0198375,40.7580229,residential
-74.0195551,40.7579108,residential
-74.0195082,40.7579212,residential
-74.0194137,40.757889,residential
-74.019366,40.757883,residential
-74.0193203,40.757892,residential
-74.0192821,40.7579179,residential
-74.0192412,40.7579037,residential
-74.0191575,40.7580342,residential
-74.0191961,40.7580467,residential
-74.0190912,40.7580781,residential
-74.0190757,40.7581044,residential
-74.0190884,40.7581472,residential
-74.0204815,40.7587271,residential
-74.022256,40.7594997,residential
-74.0135944,40.7713682,residential
-74.0136349,40.7713602,residential
-74.0135675,40.7714622,residential
-74.0145252,40.7718447,residential
-74.0145963,40.771822,residential
-74.0151799,40.7707057,residential
-74.015266,40.7705386,residential
-74.0156139,40.7700144,residential
-74.016052,40.7694339,residential
-74.0156705,40.7692582,residential
-74.015518,40.7692755,residential
-74.0154533,40.7693725,residential
-74.0154846,40.7694115,residential
-74.0154503,40.7694862,residential
-74.0153124,40.7696208,residential
-74.0151069,40.7697108,residential
-74.0149205,40.7698627,residential
-74.0146523,40.7702969,residential
-74.0144102,40.7705795,residential
-74.0144318,40.7707649,residential
-74.014327,40.7711743,residential
-74.0142891,40.771222,residential
-74.0142059,40.7712209,residential
-74.0141522,40.7711804,residential
-74.01405,40.7710118,residential
-74.0139687,40.7709802,residential
-74.0135944,40.7713682,residential
-74.0062464,40.7809616,residential
-74.0075942,40.7815377,residential
-74.0079945,40.7810461,residential
-74.0090685,40.7815229,residential
-74.0100742,40.7802106,residential
-74.0108211,40.7791756,residential
-74.0107381,40.779109,residential
-74.0084989,40.7780902,residential
-74.0082089,40.7783628,residential
-74.0079453,40.7786918,residential
-74.0077744,40.7789173,residential
-74.0076377,40.7791687,residential
-74.0074083,40.7795051,residential
-74.0072862,40.7796936,residential
-74.0072032,40.7797602,residential
-74.0068469,40.7802259,residential
-74.0066906,40.7802962,residential
-74.0065491,40.7802777,residential
-74.0065686,40.780237,residential
-74.0056166,40.7798082,residential
-74.005436,40.7800411,residential
-74.0065588,40.7805549,residential
-74.0064758,40.7806991,residential
-74.0062464,40.7809616,residential
-73.9637703,40.706399,residential
-73.9655925,40.7052153,residential
-73.9643951,40.7041742,residential
-73.96258,40.7053461,residential
-73.9637703,40.706399,residential
-73.9666635,40.7990318,residential
-73.9683636,40.7966846,residential
-73.9654307,40.7954766,residential
-73.9643327,40.7948707,residential
-73.9625369,40.7973127,residential
-73.965223,40.7984317,residential
-73.9666635,40.7990318,residential
-73.9271324,40.8107425,residential
-73.9284208,40.8090355,residential
