,long,lat,id,num
7260,-73.9882117,40.7260196,7.2637,396
7261,-73.9882501,40.7259666,7.2638,399
7262,-73.9882955,40.7259038,7.2639,399
7263,-73.9883497,40.725829,7.264,399
7264,-73.9881095,40.7257251,7.2641,404
7265,-73.9877133,40.7255591,7.2642,377
7266,-73.9876783,40.7256074,7.2643,377
7267,-73.9876657,40.7256249,7.2644,376
7268,-73.9876504,40.725646,7.2645,375
7269,-73.987613,40.7256977,7.2646,374
7270,-73.9876025,40.7257121,7.2647,374
7271,-73.9875694,40.725758,7.2648,376
7272,-74.0009642,40.7443011,7.277,412
7273,-74.0011379,40.7443755,7.2771,407
7274,-74.001166,40.7444608,7.2772,407
7275,-74.0015552,40.7446195,7.2773,431
7276,-74.0015374,40.7446448,7.2774,432
7277,-74.0014901,40.7447067,7.2775,429
7278,-74.0014456,40.7447699,7.2776,429
7279,-74.000818,40.7445015,7.2777,396
7280,-74.0007173,40.744459,7.2778,395
7281,-74.0004384,40.7443414,7.2779,403
7282,-74.0003436,40.7443014,7.278,408
7283,-74.0004092,40.7442114,7.2781,415
7284,-74.0004384,40.7441714,7.2782,419
7285,-74.0004761,40.7441197,7.2783,426
7286,-74.0005397,40.7440325,7.2784,423
7287,-74.0006632,40.743863,7.2785,437
7288,-74.0006645,40.7438613,7.2786,437
7289,-74.0007706,40.7439061,7.2787,425
7290,-74.0010296,40.7440153,7.2788,427
7291,-74.0011391,40.7440615,7.2789,418
7292,-74.0010578,40.7441729,7.279,423
7293,-74.0009642,40.7443011,7.2791,412
7294,-74.001381,40.7424389,7.2792,503
7295,-74.0013968,40.7424165,7.2793,504
7296,-74.0014291,40.7423709,7.2794,505
7297,-74.0015274,40.7422301,7.2795,482
7298,-74.0015455,40.7422367,7.2796,482
7299,-74.0015862,40.7421749,7.2797,479
7300,-74.0016319,40.7421103,7.2798,474
7301,-74.0016622,40.7420674,7.2799,471
7302,-74.0016741,40.7420506,7.28,474
7303,-74.0016995,40.7420146,7.2801,475
7304,-74.0019447,40.7421147,7.2802,465
7305,-74.0019167,40.7421516,7.2803,470
7306,-74.0019411,40.7421616,7.2804,463
7307,-74.0019668,40.7421723,7.2805,472
7308,-74.0019941,40.7421348,7.2806,471
7309,-74.0030573,40.7425844,7.2807,728
7310,-74.0029698,40.7427041,7.2808,707
7311,-74.0029007,40.7427986,7.2809,703
7312,-74.0028884,40.7427934,7.281,696
7313,-74.002865,40.7428255,7.2811,694
7314,-74.0027346,40.7430039,7.2812,664
7315,-74.0026075,40.7429502,7.2813,613
7316,-74.0026037,40.7429554,7.2814,612
7317,-74.0016798,40.7425648,7.2815,469
7318,-74.0016971,40.7425412,7.2816,470
7319,-74.0016713,40.7425303,7.2817,469
7320,-74.0016488,40.7425208,7.2818,472
7321,-74.0016319,40.7425446,7.2819,474
7322,-74.001381,40.7424389,7.282,503
7323,-73.9862475,40.7220265,7.2826,287
7324,-73.9864684,40.7216069,7.2827,297
7325,-73.9864412,40.7215987,7.2828,295
7326,-73.986721,40.7210631,7.2829,285
7327,-73.9861975,40.7209048,7.283,263
7328,-73.9859177,40.7214404,7.2831,276
7329,-73.9858967,40.721434,7.2832,275
7330,-73.9856758,40.7218536,7.2833,263
7331,-73.9862475,40.7220265,7.2834,287
7332,-73.9910883,40.73167,7.2856,896
7333,-73.9910297,40.7317579,7.2857,907
7334,-73.9909032,40.7317386,7.2858,904
7335,-73.9908762,40.7317345,7.2859,905
7336,-73.9908594,40.731808,7.286,910
7337,-73.9908441,40.7318434,7.2861,915
7338,-73.9908277,40.7318982,7.2862,917
7339,-73.9907236,40.7318803,7.2863,917
7340,-73.9907116,40.7319202,7.2864,919
7341,-73.9906388,40.7319077,7.2865,906
7342,-73.9906143,40.7319895,7.2866,917
7343,-73.990649,40.7319955,7.2867,916
7344,-73.9906297,40.7320458,7.2868,919
7345,-73.9905934,40.732167,7.2869,920
7346,-73.990751,40.7321942,7.287,943
7347,-73.9907124,40.7323281,7.2871,954
7348,-73.9904924,40.7322913,7.2872,933
7349,-73.9905224,40.7321857,7.2873,925
7350,-73.9903678,40.7321609,7.2874,910
7351,-73.9904243,40.7319579,7.2875,901
7352,-73.9904532,40.7319617,7.2876,901
7353,-73.990468,40.7319123,7.2877,902
7354,-73.990419,40.7319039,7.2878,898
7355,-73.9904727,40.7317244,7.2879,876
7356,-73.9906798,40.73176,7.288,898
7357,-73.9907436,40.7317703,7.2881,902
7358,-73.9907532,40.7317718,7.2882,902
7359,-73.9907913,40.7316398,7.2883,879
7360,-73.9905097,40.7315927,7.2884,874
7361,-73.9905402,40.7314428,7.2885,860
7362,-73.9905522,40.7314382,7.2886,862
7363,-73.9909331,40.7316029,7.2887,895
7364,-73.9910883,40.73167,7.2888,896
7365,-74.0006384,40.7174059,8.0001,360
7366,-73.9976561,40.7469724,8.0002,431
7367,-73.9923316,40.7495759,8.0003,1785
7368,-73.9683307,40.7557215,8.0006,1111
7369,-73.9857349,40.7681947,8.0008,590
7370,-73.9978469,40.7155025,8.0009,282
7371,-73.9980907,40.7155941,8.001,293
7372,-73.9833891,40.732783,8.0011,419
7373,-73.9817327,40.7330672,8.0012,420
7374,-73.9897815,40.7348335,8.0013,1277
